Year,Config,Value,Metadata:
2020,central,37951.92803,"> Configs from MfE NZ ETS model 2026 version, represent $0 carbon price baseline"
2021,central,38501.73967,> central config uses 'CCC_mid' from 2026 MfE NZ ETS model
2022,central,36874.95693,
2023,central,35273.08258,
2024,central,34966.80886,
2025,central,34448.21831,
2026,central,34022.14822,
2027,central,33651.77592,
2028,central,32942.39815,
2029,central,32480.06384,
2030,central,31540.68824,
2031,central,30811.848,
2032,central,30050.51826,
2033,central,29110.85713,
2034,central,28285.86141,
2035,central,27512.25996,
2036,central,26719.04345,
2037,central,25880.18368,
2038,central,25248.52059,
2039,central,24677.28441,
2040,central,23722.03931,
2041,central,23039.01108,
2042,central,22340.62189,
2043,central,21634.44392,
2044,central,20933.5009,
2045,central,20258.73621,
2046,central,19617.45066,
2047,central,18988.58844,
2048,central,18379.48671,
2049,central,17924.26115,
2050,central,17496.65684,
2020,CCC_CPR,38992.24177,
2021,CCC_CPR,38481.51963,
2022,CCC_CPR,35836.82483,
2023,CCC_CPR,33191.56308,
2024,CCC_CPR,33413.36709,
2025,CCC_CPR,32777.12179,
2026,CCC_CPR,32054.64445,
2027,CCC_CPR,31510.29908,
2028,CCC_CPR,30373.60713,
2029,CCC_CPR,29782.28578,
2030,CCC_CPR,29309.12047,
2031,CCC_CPR,29078.84528,
2032,CCC_CPR,28783.5911,
2033,CCC_CPR,28131.67412,
2034,CCC_CPR,27709.08796,
2035,CCC_CPR,27389.29035,
2036,CCC_CPR,27030.26261,
2037,CCC_CPR,26269.74969,
2038,CCC_CPR,25926.16152,
2039,CCC_CPR,25720.89163,
2040,CCC_CPR,25611.44962,
2041,CCC_CPR,25057.15624,
2042,CCC_CPR,24502.86286,
2043,CCC_CPR,23948.56948,
2044,CCC_CPR,23394.2761,
2045,CCC_CPR,22839.98272,
2046,CCC_CPR,22285.68934,
2047,CCC_CPR,21731.39596,
2048,CCC_CPR,21177.10259,
2049,CCC_CPR,20835.52941,
2050,CCC_CPR,20515.86221,
2020,CCC_DP,36911.61429,
2021,CCC_DP,38521.95971,
2022,CCC_DP,37913.08902,
2023,CCC_DP,37354.60207,
2024,CCC_DP,36520.25064,
2025,CCC_DP,36119.31482,
2026,CCC_DP,35989.65198,
2027,CCC_DP,35793.25275,
2028,CCC_DP,35511.18917,
2029,CCC_DP,35177.84189,
2030,CCC_DP,33772.256,
2031,CCC_DP,32544.85072,
2032,CCC_DP,31317.44543,
2033,CCC_DP,30090.04014,
2034,CCC_DP,28862.63486,
2035,CCC_DP,27635.22957,
2036,CCC_DP,26407.82429,
2037,CCC_DP,25490.61768,
2038,CCC_DP,24570.87966,
2039,CCC_DP,23633.67719,
2040,CCC_DP,21832.629,
2041,CCC_DP,21020.86591,
2042,CCC_DP,20178.38092,
2043,CCC_DP,19320.31837,
2044,CCC_DP,18472.72571,
2045,CCC_DP,17677.48969,
2046,CCC_DP,16949.21198,
2047,CCC_DP,16245.78092,
2048,CCC_DP,15581.87084,
2049,CCC_DP,15012.99289,
2050,CCC_DP,14477.45147,
2020,CCC_mid,37951.92803,
2021,CCC_mid,38501.73967,
2022,CCC_mid,36874.95693,
2023,CCC_mid,35273.08258,
2024,CCC_mid,34966.80886,
2025,CCC_mid,34448.21831,
2026,CCC_mid,34022.14822,
2027,CCC_mid,33651.77592,
2028,CCC_mid,32942.39815,
2029,CCC_mid,32480.06384,
2030,CCC_mid,31540.68824,
2031,CCC_mid,30811.848,
2032,CCC_mid,30050.51826,
2033,CCC_mid,29110.85713,
2034,CCC_mid,28285.86141,
2035,CCC_mid,27512.25996,
2036,CCC_mid,26719.04345,
2037,CCC_mid,25880.18368,
2038,CCC_mid,25248.52059,
2039,CCC_mid,24677.28441,
2040,CCC_mid,23722.03931,
2041,CCC_mid,23039.01108,
2042,CCC_mid,22340.62189,
2043,CCC_mid,21634.44392,
2044,CCC_mid,20933.5009,
2045,CCC_mid,20258.73621,
2046,CCC_mid,19617.45066,
2047,CCC_mid,18988.58844,
2048,CCC_mid,18379.48671,
2049,CCC_mid,17924.26115,
2050,CCC_mid,17496.65684,
2020,CCC_CPR2025,36389.36494,"> All 2025 configs from MfE NZ ETS model Nov 2025 version, represent $0 carbon price baseline"
2021,CCC_CPR2025,37041.59125,> central2025 config uses 'CCC_mid2025'
2022,CCC_CPR2025,34302.54072,
2023,CCC_CPR2025,34061.63197,
2024,CCC_CPR2025,35048.36926,
2025,CCC_CPR2025,34524.58722,
2026,CCC_CPR2025,33373.81158,
2027,CCC_CPR2025,33364.41598,
2028,CCC_CPR2025,31815.33034,
2029,CCC_CPR2025,31497.4317,
2030,CCC_CPR2025,30299.18075,
2031,CCC_CPR2025,30009.84202,
2032,CCC_CPR2025,29540.08488,
2033,CCC_CPR2025,29072.83392,
2034,CCC_CPR2025,28645.73309,
2035,CCC_CPR2025,28366.51935,
2036,CCC_CPR2025,27861.41181,
2037,CCC_CPR2025,27725.81674,
2038,CCC_CPR2025,27358.18098,
2039,CCC_CPR2025,27147.36941,
2040,CCC_CPR2025,26668.21357,
2041,CCC_CPR2025,26418.13568,
2042,CCC_CPR2025,26234.00814,
2043,CCC_CPR2025,25907.21434,
2044,CCC_CPR2025,25591.77268,
2045,CCC_CPR2025,25204.70909,
2046,CCC_CPR2025,24966.16394,
2047,CCC_CPR2025,24643.98316,
2048,CCC_CPR2025,24390.93742,
2049,CCC_CPR2025,24089.38096,
2050,CCC_CPR2025,23832.88874,
2020,CCC_DP2025,36911.61429,
2021,CCC_DP2025,38521.95971,
2022,CCC_DP2025,37913.08902,
2023,CCC_DP2025,37354.60207,
2024,CCC_DP2025,36520.25064,
2025,CCC_DP2025,36119.31482,
2026,CCC_DP2025,35989.65198,
2027,CCC_DP2025,35793.25275,
2028,CCC_DP2025,35511.18917,
2029,CCC_DP2025,35177.84189,
2030,CCC_DP2025,33772.256,
2031,CCC_DP2025,32544.85072,
2032,CCC_DP2025,31317.44543,
2033,CCC_DP2025,30090.04014,
2034,CCC_DP2025,28862.63486,
2035,CCC_DP2025,27635.22957,
2036,CCC_DP2025,26407.82429,
2037,CCC_DP2025,25490.61768,
2038,CCC_DP2025,24570.87966,
2039,CCC_DP2025,23633.67719,
2040,CCC_DP2025,21832.629,
2041,CCC_DP2025,21020.86591,
2042,CCC_DP2025,20178.38092,
2043,CCC_DP2025,19320.31837,
2044,CCC_DP2025,18472.72571,
2045,CCC_DP2025,17677.48969,
2046,CCC_DP2025,16949.21198,
2047,CCC_DP2025,16245.78092,
2048,CCC_DP2025,15581.87084,
2049,CCC_DP2025,15012.99289,
2050,CCC_DP2025,14477.45147,
2020,CCC_mid2025,36650.48962,
2021,CCC_mid2025,37781.77548,
2022,CCC_mid2025,36107.81487,
2023,CCC_mid2025,35708.11702,
2024,CCC_mid2025,35784.30995,
2025,CCC_mid2025,35321.95102,
2026,CCC_mid2025,34681.73178,
2027,CCC_mid2025,34578.83437,
2028,CCC_mid2025,33663.25976,
2029,CCC_mid2025,33337.6368,
2030,CCC_mid2025,32035.71837,
2031,CCC_mid2025,31277.34637,
2032,CCC_mid2025,30428.76516,
2033,CCC_mid2025,29581.43703,
2034,CCC_mid2025,28754.18398,
2035,CCC_mid2025,28000.87446,
2036,CCC_mid2025,27134.61805,
2037,CCC_mid2025,26608.21721,
2038,CCC_mid2025,25964.53032,
2039,CCC_mid2025,25390.5233,
2040,CCC_mid2025,24250.42128,
2041,CCC_mid2025,23719.5008,
2042,CCC_mid2025,23206.19453,
2043,CCC_mid2025,22613.76635,
2044,CCC_mid2025,22032.2492,
2045,CCC_mid2025,21441.09939,
2046,CCC_mid2025,20957.68796,
2047,CCC_mid2025,20444.88204,
2048,CCC_mid2025,19986.40413,
2049,CCC_mid2025,19551.18692,
2050,CCC_mid2025,19155.1701,
2020,central2025,36650.48962,
2021,central2025,37781.77548,
2022,central2025,36107.81487,
2023,central2025,35708.11702,
2024,central2025,35784.30995,
2025,central2025,35321.95102,
2026,central2025,34681.73178,
2027,central2025,34578.83437,
2028,central2025,33663.25976,
2029,central2025,33337.6368,
2030,central2025,32035.71837,
2031,central2025,31277.34637,
2032,central2025,30428.76516,
2033,central2025,29581.43703,
2034,central2025,28754.18398,
2035,central2025,28000.87446,
2036,central2025,27134.61805,
2037,central2025,26608.21721,
2038,central2025,25964.53032,
2039,central2025,25390.5233,
2040,central2025,24250.42128,
2041,central2025,23719.5008,
2042,central2025,23206.19453,
2043,central2025,22613.76635,
2044,central2025,22032.2492,
2045,central2025,21441.09939,
2046,central2025,20957.68796,
2047,central2025,20444.88204,
2048,central2025,19986.40413,
2049,central2025,19551.18692,
2050,central2025,19155.1701,
