Year,Value,Metadata
2008,865.415987,CPI All Groups for New Zealand (Qrtly-Q2)
2009,881.729201,Base: June 2017 quarter (=1000).
2010,896.411093,Table reference: 
2011,943.719413,CPI009AA
2012,952.69168,Last updated:
2013,959.216966,21-Jul-26
2014,974.714519,Historic source: Statistics New Zealand
2015,978.792822,Forecast: 2027-2050 2% inflation
2016,982.871126,
2017,1000,
2018,1015,
2019,1032,
2020,1047,
2021,1082,
2022,1161,
2023,1231,
2024,1272,
2025,1306,
2026,1359,
2027,1386,
2028,1414,
2029,1442,
2030,1471,
2031,1500,
2032,1530,
2033,1561,
2034,1592,
2035,1624,
2036,1657,
2037,1690,
2038,1724,
2039,1758,
2040,1793,
2041,1829,
2042,1866,
2043,1903,
2044,1941,
2045,1980,
2046,2019,
2047,2060,
2048,2101,
2049,2143,
2050,2186,
