Age,Forest,Size,Config,Value
1,natural_forest,large,alternative,0.737321969
2,natural_forest,large,alternative,1.673310886
3,natural_forest,large,alternative,3.262208567
4,natural_forest,large,alternative,5.64189221
5,natural_forest,large,alternative,8.870570987
6,natural_forest,large,alternative,12.97215487
7,natural_forest,large,alternative,17.93950684
8,natural_forest,large,alternative,23.75397125
9,natural_forest,large,alternative,30.37322097
10,natural_forest,large,alternative,37.85567561
11,natural_forest,large,alternative,45.90177337
12,natural_forest,large,alternative,54.05530317
13,natural_forest,large,alternative,63.68691227
14,natural_forest,large,alternative,73.65179772
15,natural_forest,large,alternative,84.16080199
16,natural_forest,large,alternative,94.98296383
17,natural_forest,large,alternative,106.0028136
18,natural_forest,large,alternative,117.3163276
19,natural_forest,large,alternative,128.6814552
20,natural_forest,large,alternative,139.7830773
21,natural_forest,large,alternative,149.86904
22,natural_forest,large,alternative,159.5380872
23,natural_forest,large,alternative,169.2440808
24,natural_forest,large,alternative,178.6778844
25,natural_forest,large,alternative,187.4251222
26,natural_forest,large,alternative,196.1032027
27,natural_forest,large,alternative,204.7672773
28,natural_forest,large,alternative,212.591062
29,natural_forest,large,alternative,220.3485336
30,natural_forest,large,alternative,227.6102726
31,natural_forest,large,alternative,234.3536259
32,natural_forest,large,alternative,241.0685078
33,natural_forest,large,alternative,246.7465469
34,natural_forest,large,alternative,253.0021555
35,natural_forest,large,alternative,258.2362024
36,natural_forest,large,alternative,263.6029995
37,natural_forest,large,alternative,267.9279849
38,natural_forest,large,alternative,273.0893688
39,natural_forest,large,alternative,277.2296244
40,natural_forest,large,alternative,280.9914635
41,natural_forest,large,alternative,285.0740538
42,natural_forest,large,alternative,288.8310916
43,natural_forest,large,alternative,292.2698294
44,natural_forest,large,alternative,295.4019437
45,natural_forest,large,alternative,298.2309185
46,natural_forest,large,alternative,301.55006
47,natural_forest,large,alternative,303.828874
48,natural_forest,large,alternative,306.6420752
49,natural_forest,large,alternative,309.2146022
50,natural_forest,large,alternative,311.5631393
51,natural_forest,large,alternative,313.9116764
52,natural_forest,large,alternative,316.2602135
53,natural_forest,large,alternative,318.6087505
54,natural_forest,large,alternative,320.9572876
55,natural_forest,large,alternative,323.3058247
56,natural_forest,large,alternative,325.6543618
57,natural_forest,large,alternative,328.0028988
58,natural_forest,large,alternative,330.3514359
59,natural_forest,large,alternative,332.699973
60,natural_forest,large,alternative,335.0485101
61,natural_forest,large,alternative,337.3970471
62,natural_forest,large,alternative,339.7455842
63,natural_forest,large,alternative,342.0941213
64,natural_forest,large,alternative,344.4426584
65,natural_forest,large,alternative,346.7911954
66,natural_forest,large,alternative,349.1397325
67,natural_forest,large,alternative,351.4882696
68,natural_forest,large,alternative,353.8368067
69,natural_forest,large,alternative,356.1853437
70,natural_forest,large,alternative,358.5338808
71,natural_forest,large,alternative,360.8824179
72,natural_forest,large,alternative,363.230955
73,natural_forest,large,alternative,365.579492
74,natural_forest,large,alternative,367.9280291
75,natural_forest,large,alternative,370.2765662
76,natural_forest,large,alternative,372.6251033
77,natural_forest,large,alternative,374.9736403
78,natural_forest,large,alternative,377.3221774
79,natural_forest,large,alternative,379.6707145
80,natural_forest,large,alternative,382.0192516
81,natural_forest,large,alternative,384.3677886
82,natural_forest,large,alternative,386.7163257
83,natural_forest,large,alternative,389.0648628
84,natural_forest,large,alternative,391.4133999
85,natural_forest,large,alternative,393.7619369
86,natural_forest,large,alternative,396.110474
87,natural_forest,large,alternative,398.4590111
88,natural_forest,large,alternative,400.8075482
89,natural_forest,large,alternative,403.1560852
90,natural_forest,large,alternative,405.5046223
91,natural_forest,large,alternative,407.8531594
92,natural_forest,large,alternative,410.2016965
93,natural_forest,large,alternative,412.5502335
94,natural_forest,large,alternative,414.8987706
95,natural_forest,large,alternative,417.2473077
96,natural_forest,large,alternative,419.5958448
97,natural_forest,large,alternative,421.9443818
98,natural_forest,large,alternative,424.2929189
99,natural_forest,large,alternative,426.641456
100,natural_forest,large,alternative,428.9899931
101,natural_forest,large,alternative,431.3385301
102,natural_forest,large,alternative,433.6870672
103,natural_forest,large,alternative,436.0356043
104,natural_forest,large,alternative,438.3841414
105,natural_forest,large,alternative,440.7326784
106,natural_forest,large,alternative,443.0812155
107,natural_forest,large,alternative,445.4297526
108,natural_forest,large,alternative,447.7782897
109,natural_forest,large,alternative,450.1268267
110,natural_forest,large,alternative,452.4753638
1,natural_forest,small,alternative,0.6
2,natural_forest,small,alternative,1.2
3,natural_forest,small,alternative,2.5
4,natural_forest,small,alternative,4.6
5,natural_forest,small,alternative,7.8
6,natural_forest,small,alternative,12.1
7,natural_forest,small,alternative,17.5
8,natural_forest,small,alternative,24.0
9,natural_forest,small,alternative,31.6
10,natural_forest,small,alternative,40.2
11,natural_forest,small,alternative,49.8
12,natural_forest,small,alternative,60.3
13,natural_forest,small,alternative,71.5
14,natural_forest,small,alternative,83.3
15,natural_forest,small,alternative,95.5
16,natural_forest,small,alternative,108.1
17,natural_forest,small,alternative,120.8
18,natural_forest,small,alternative,133.6
19,natural_forest,small,alternative,146.3
20,natural_forest,small,alternative,158.7
21,natural_forest,small,alternative,170.9
22,natural_forest,small,alternative,182.6
23,natural_forest,small,alternative,193.9
24,natural_forest,small,alternative,204.7
25,natural_forest,small,alternative,215.0
26,natural_forest,small,alternative,224.6
27,natural_forest,small,alternative,233.7
28,natural_forest,small,alternative,242.2
29,natural_forest,small,alternative,250.1
30,natural_forest,small,alternative,257.5
31,natural_forest,small,alternative,264.3
32,natural_forest,small,alternative,270.6
33,natural_forest,small,alternative,276.3
34,natural_forest,small,alternative,281.6
35,natural_forest,small,alternative,286.5
36,natural_forest,small,alternative,290.9
37,natural_forest,small,alternative,295.0
38,natural_forest,small,alternative,298.7
39,natural_forest,small,alternative,302.0
40,natural_forest,small,alternative,305.1
41,natural_forest,small,alternative,307.8
42,natural_forest,small,alternative,310.4
43,natural_forest,small,alternative,312.6
44,natural_forest,small,alternative,314.7
45,natural_forest,small,alternative,316.5
46,natural_forest,small,alternative,318.2
47,natural_forest,small,alternative,319.7
48,natural_forest,small,alternative,321.1
49,natural_forest,small,alternative,322.3
50,natural_forest,small,alternative,323.4
51,natural_forest,small,alternative,325.4
52,natural_forest,small,alternative,327.4
53,natural_forest,small,alternative,329.4
54,natural_forest,small,alternative,331.4
55,natural_forest,small,alternative,333.4
56,natural_forest,small,alternative,335.4
57,natural_forest,small,alternative,337.4
58,natural_forest,small,alternative,339.4
59,natural_forest,small,alternative,341.4
60,natural_forest,small,alternative,343.4
61,natural_forest,small,alternative,345.4
62,natural_forest,small,alternative,347.4
63,natural_forest,small,alternative,349.4
64,natural_forest,small,alternative,351.4
65,natural_forest,small,alternative,353.4
66,natural_forest,small,alternative,355.4
67,natural_forest,small,alternative,357.4
68,natural_forest,small,alternative,359.4
69,natural_forest,small,alternative,361.4
70,natural_forest,small,alternative,363.4
71,natural_forest,small,alternative,365.4
72,natural_forest,small,alternative,367.4
73,natural_forest,small,alternative,369.4
74,natural_forest,small,alternative,371.4
75,natural_forest,small,alternative,373.4
76,natural_forest,small,alternative,375.4
77,natural_forest,small,alternative,377.4
78,natural_forest,small,alternative,379.4
79,natural_forest,small,alternative,381.4
80,natural_forest,small,alternative,383.4
81,natural_forest,small,alternative,385.4
82,natural_forest,small,alternative,387.4
83,natural_forest,small,alternative,389.4
84,natural_forest,small,alternative,391.4
85,natural_forest,small,alternative,393.4
86,natural_forest,small,alternative,395.4
87,natural_forest,small,alternative,397.4
88,natural_forest,small,alternative,399.4
89,natural_forest,small,alternative,401.4
90,natural_forest,small,alternative,403.4
91,natural_forest,small,alternative,405.4
92,natural_forest,small,alternative,407.4
93,natural_forest,small,alternative,409.4
94,natural_forest,small,alternative,411.4
95,natural_forest,small,alternative,413.4
96,natural_forest,small,alternative,415.4
97,natural_forest,small,alternative,417.4
98,natural_forest,small,alternative,419.4
99,natural_forest,small,alternative,421.4
100,natural_forest,small,alternative,423.4
101,natural_forest,small,alternative,425.4
102,natural_forest,small,alternative,427.4
103,natural_forest,small,alternative,429.4
104,natural_forest,small,alternative,431.4
105,natural_forest,small,alternative,433.4
106,natural_forest,small,alternative,435.4
107,natural_forest,small,alternative,437.4
108,natural_forest,small,alternative,439.4
109,natural_forest,small,alternative,441.4
110,natural_forest,small,alternative,443.4
1,permanent_exotic,large,alternative,0.51798984
2,permanent_exotic,large,alternative,2.58195045
3,permanent_exotic,large,alternative,8.08154758
4,permanent_exotic,large,alternative,26.28385572
5,permanent_exotic,large,alternative,57.84726725
6,permanent_exotic,large,alternative,101.8210935
7,permanent_exotic,large,alternative,152.5985056
8,permanent_exotic,large,alternative,203.4659702
9,permanent_exotic,large,alternative,249.89597
10,permanent_exotic,large,alternative,291.8674564
11,permanent_exotic,large,alternative,328.7023128
12,permanent_exotic,large,alternative,366.3063899
13,permanent_exotic,large,alternative,405.1713355
14,permanent_exotic,large,alternative,445.6191269
15,permanent_exotic,large,alternative,487.3017744
16,permanent_exotic,large,alternative,529.9276247
17,permanent_exotic,large,alternative,573.3357054
18,permanent_exotic,large,alternative,617.0867957
19,permanent_exotic,large,alternative,660.8726767
20,permanent_exotic,large,alternative,704.2158199
21,permanent_exotic,large,alternative,747.3591191
22,permanent_exotic,large,alternative,790.4781495
23,permanent_exotic,large,alternative,833.7982108
24,permanent_exotic,large,alternative,877.0735142
25,permanent_exotic,large,alternative,920.0261623
26,permanent_exotic,large,alternative,962.7295196
27,permanent_exotic,large,alternative,1005.051398
28,permanent_exotic,large,alternative,1046.91644
29,permanent_exotic,large,alternative,1088.286082
30,permanent_exotic,large,alternative,1129.092916
31,permanent_exotic,large,alternative,1169.126184
32,permanent_exotic,large,alternative,1208.396691
33,permanent_exotic,large,alternative,1246.87343
34,permanent_exotic,large,alternative,1284.55048
35,permanent_exotic,large,alternative,1321.435988
36,permanent_exotic,large,alternative,1357.570401
37,permanent_exotic,large,alternative,1392.994
38,permanent_exotic,large,alternative,1427.774999
39,permanent_exotic,large,alternative,1461.981139
40,permanent_exotic,large,alternative,1495.718238
41,permanent_exotic,large,alternative,1529.044097
42,permanent_exotic,large,alternative,1561.547092
43,permanent_exotic,large,alternative,1593.284625
44,permanent_exotic,large,alternative,1624.24354
45,permanent_exotic,large,alternative,1654.462965
46,permanent_exotic,large,alternative,1683.972057
47,permanent_exotic,large,alternative,1712.811181
48,permanent_exotic,large,alternative,1741.010192
49,permanent_exotic,large,alternative,1768.595962
50,permanent_exotic,large,alternative,1795.614462
51,permanent_exotic,large,alternative,1822.632962
52,permanent_exotic,large,alternative,1849.651463
53,permanent_exotic,large,alternative,1876.669963
54,permanent_exotic,large,alternative,1903.688463
55,permanent_exotic,large,alternative,1930.706964
56,permanent_exotic,large,alternative,1957.725464
57,permanent_exotic,large,alternative,1984.743964
58,permanent_exotic,large,alternative,2011.762464
59,permanent_exotic,large,alternative,2038.780965
60,permanent_exotic,large,alternative,2065.799465
61,permanent_exotic,large,alternative,2092.817965
62,permanent_exotic,large,alternative,2119.836466
63,permanent_exotic,large,alternative,2146.854966
64,permanent_exotic,large,alternative,2173.873466
65,permanent_exotic,large,alternative,2200.891966
66,permanent_exotic,large,alternative,2227.910467
67,permanent_exotic,large,alternative,2254.928967
68,permanent_exotic,large,alternative,2281.947467
69,permanent_exotic,large,alternative,2308.965968
70,permanent_exotic,large,alternative,2335.984468
1,permanent_exotic,small,alternative,0.283780893832932
2,permanent_exotic,small,alternative,1.5334653465346533
3,permanent_exotic,small,alternative,4.53940594059406
4,permanent_exotic,small,alternative,16.4760396039604
5,permanent_exotic,small,alternative,39.39960396039604
6,permanent_exotic,small,alternative,74.30336633663367
7,permanent_exotic,small,alternative,114.06891089108912
8,permanent_exotic,small,alternative,150.97663366336633
9,permanent_exotic,small,alternative,189.36554455445545
10,permanent_exotic,small,alternative,228.8784158415842
11,permanent_exotic,small,alternative,263.189702970297
12,permanent_exotic,small,alternative,296.3508910891089
13,permanent_exotic,small,alternative,331.40277227722777
14,permanent_exotic,small,alternative,368.0491089108912
15,permanent_exotic,small,alternative,405.56673267326727
16,permanent_exotic,small,alternative,443.9556435643564
17,permanent_exotic,small,alternative,482.5188118811882
18,permanent_exotic,small,alternative,521.4217821782178
19,permanent_exotic,small,alternative,560.3944554455446
20,permanent_exotic,small,alternative,599.8027722772277
21,permanent_exotic,small,alternative,638.4704950495052
22,permanent_exotic,small,alternative,677.6348514851484
23,permanent_exotic,small,alternative,717.2087128712872
24,permanent_exotic,small,alternative,756.6170297029703
25,permanent_exotic,small,alternative,796.5394059405941
26,permanent_exotic,small,alternative,836.0174257425741
27,permanent_exotic,small,alternative,875.1817821782179
28,permanent_exotic,small,alternative,913.7710891089108
29,permanent_exotic,small,alternative,952.2558415841584
30,permanent_exotic,small,alternative,990.0435643564356
31,permanent_exotic,small,alternative,1027.221386138614
32,permanent_exotic,small,alternative,1063.771881188119
33,permanent_exotic,small,alternative,1099.3813861386138
34,permanent_exotic,small,alternative,1134.0411881188118
35,permanent_exotic,small,alternative,1168.3611881188117
36,permanent_exotic,small,alternative,1202.001584158416
37,permanent_exotic,small,alternative,1235.1714851485149
38,permanent_exotic,small,alternative,1267.3742574257426
39,permanent_exotic,small,alternative,1299.071683168317
40,permanent_exotic,small,alternative,1330.751683168317
41,permanent_exotic,small,alternative,1361.4035643564357
42,permanent_exotic,small,alternative,1391.6633663366335
43,permanent_exotic,small,alternative,1421.3045544554452
44,permanent_exotic,small,alternative,1449.8217821782175
45,permanent_exotic,small,alternative,1477.5897029702971
46,permanent_exotic,small,alternative,1504.8609900990098
47,permanent_exotic,small,alternative,1531.1390099009905
48,permanent_exotic,small,alternative,1556.9639603960395
49,permanent_exotic,small,alternative,1582.2138613861384
50,permanent_exotic,small,alternative,1606.792871287129
51,permanent_exotic,small,alternative,1635.0781212871289
52,permanent_exotic,small,alternative,1663.3633712871288
53,permanent_exotic,small,alternative,1691.648621287129
54,permanent_exotic,small,alternative,1719.9338712871286
55,permanent_exotic,small,alternative,1748.2191212871285
56,permanent_exotic,small,alternative,1776.5043712871284
57,permanent_exotic,small,alternative,1804.7896212871285
58,permanent_exotic,small,alternative,1833.074871287128
59,permanent_exotic,small,alternative,1861.360121287128
60,permanent_exotic,small,alternative,1889.645371287128
61,permanent_exotic,small,alternative,1917.930621287128
62,permanent_exotic,small,alternative,1946.215871287128
63,permanent_exotic,small,alternative,1974.501121287128
64,permanent_exotic,small,alternative,2002.786371287128
65,permanent_exotic,small,alternative,2031.0716212871275
66,permanent_exotic,small,alternative,2059.3568712871274
67,permanent_exotic,small,alternative,2087.642121287128
68,permanent_exotic,small,alternative,2115.9273712871272
69,permanent_exotic,small,alternative,2144.212621287127
70,permanent_exotic,small,alternative,2172.497871287127
1,production_exotic,large,alternative,0.51798984
2,production_exotic,large,alternative,2.58195045
3,production_exotic,large,alternative,8.08154758
4,production_exotic,large,alternative,26.28385572
5,production_exotic,large,alternative,57.84726725
6,production_exotic,large,alternative,101.8210935
7,production_exotic,large,alternative,152.5985056
8,production_exotic,large,alternative,203.4659702
9,production_exotic,large,alternative,249.89597
10,production_exotic,large,alternative,291.8674564
11,production_exotic,large,alternative,328.7023128
12,production_exotic,large,alternative,366.3063899
13,production_exotic,large,alternative,405.1713355
14,production_exotic,large,alternative,445.6191269
15,production_exotic,large,alternative,487.3017744
16,production_exotic,large,alternative,529.9276247
17,production_exotic,large,alternative,573.3357054
18,production_exotic,large,alternative,617.0867957
19,production_exotic,large,alternative,660.8726767
20,production_exotic,large,alternative,704.2158199
21,production_exotic,large,alternative,747.3591191
22,production_exotic,large,alternative,790.4781495
23,production_exotic,large,alternative,833.7982108
24,production_exotic,large,alternative,877.0735142
25,production_exotic,large,alternative,920.0261623
26,production_exotic,large,alternative,962.7295196
27,production_exotic,large,alternative,1005.051398
28,production_exotic,large,alternative,1046.91644
29,production_exotic,large,alternative,1088.286082
30,production_exotic,large,alternative,1129.092916
31,production_exotic,large,alternative,1169.126184
32,production_exotic,large,alternative,1208.396691
33,production_exotic,large,alternative,1246.87343
34,production_exotic,large,alternative,1284.55048
35,production_exotic,large,alternative,1321.435988
36,production_exotic,large,alternative,1357.570401
37,production_exotic,large,alternative,1392.994
38,production_exotic,large,alternative,1427.774999
39,production_exotic,large,alternative,1461.981139
40,production_exotic,large,alternative,1495.718238
41,production_exotic,large,alternative,1529.044097
42,production_exotic,large,alternative,1561.547092
43,production_exotic,large,alternative,1593.284625
44,production_exotic,large,alternative,1624.24354
45,production_exotic,large,alternative,1654.462965
46,production_exotic,large,alternative,1683.972057
47,production_exotic,large,alternative,1712.811181
48,production_exotic,large,alternative,1741.010192
49,production_exotic,large,alternative,1768.595962
50,production_exotic,large,alternative,1795.614462
1,production_exotic,small,alternative,0.283780893832932
2,production_exotic,small,alternative,1.5334653465346533
3,production_exotic,small,alternative,4.53940594059406
4,production_exotic,small,alternative,16.4760396039604
5,production_exotic,small,alternative,39.39960396039604
6,production_exotic,small,alternative,74.30336633663367
7,production_exotic,small,alternative,114.06891089108912
8,production_exotic,small,alternative,150.97663366336633
