Year,Config,Variable,Value,Metadata:
2020,central,auction_volume,0,"Auction reserve & CCR prices in 2023$, from MfE ETS Model. Will be lower than published regulatory figures which include inflation effect"
2021,central,auction_volume,"19,300",
2022,central,auction_volume,"19,957",
2023,central,auction_volume,0,
2024,central,auction_volume,7006.8,
2025,central,auction_volume,6000,
2026,central,auction_volume,5200,
2027,central,auction_volume,4300,
2028,central,auction_volume,3300,
2029,central,auction_volume,2400,
2030,central,auction_volume,1700,
2031,central,auction_volume,6600,
2032,central,auction_volume,4400,
2033,central,auction_volume,2200,
2034,central,auction_volume,400,
2035,central,auction_volume,0,
2036,central,auction_volume,0,
2037,central,auction_volume,0,
2038,central,auction_volume,0,
2039,central,auction_volume,0,
2040,central,auction_volume,0,
2041,central,auction_volume,0,
2042,central,auction_volume,0,
2043,central,auction_volume,0,
2044,central,auction_volume,0,
2045,central,auction_volume,0,
2046,central,auction_volume,0,
2047,central,auction_volume,0,
2048,central,auction_volume,0,
2049,central,auction_volume,0,
2050,central,auction_volume,0,
2020,central,auction_price,0,
2021,central,auction_price,0,
2022,central,auction_price,30,
2023,central,auction_price,60,
2024,central,auction_price,62,
2025,central,auction_price,64,
2026,central,auction_price,66,
2027,central,auction_price,68,
2028,central,auction_price,70,
2029,central,auction_price,72,
2030,central,auction_price,74,
2031,central,auction_price,76,
2032,central,auction_price,78,
2033,central,auction_price,81,
2034,central,auction_price,83,
2035,central,auction_price,86,
2036,central,auction_price,88,
2037,central,auction_price,91,
2038,central,auction_price,93,
2039,central,auction_price,96,
2040,central,auction_price,99,
2041,central,auction_price,102,
2042,central,auction_price,105,
2043,central,auction_price,108,
2044,central,auction_price,112,
2045,central,auction_price,115,
2046,central,auction_price,118,
2047,central,auction_price,122,
2048,central,auction_price,126,
2049,central,auction_price,129,
2050,central,auction_price,133,
2020,central,CCR_price_1,0,
2021,central,CCR_price_1,0,
2022,central,CCR_price_1,70,
2023,central,CCR_price_1,173,
2024,central,CCR_price_1,178,
2025,central,CCR_price_1,184,
2026,central,CCR_price_1,189,
2027,central,CCR_price_1,195,
2028,central,CCR_price_1,201,
2029,central,CCR_price_1,207,
2030,central,CCR_price_1,213,
2031,central,CCR_price_1,219,
2032,central,CCR_price_1,226,
2033,central,CCR_price_1,232,
2034,central,CCR_price_1,239,
2035,central,CCR_price_1,247,
2036,central,CCR_price_1,254,
2037,central,CCR_price_1,262,
2038,central,CCR_price_1,270,
2039,central,CCR_price_1,278,
2040,central,CCR_price_1,286,
2041,central,CCR_price_1,295,
2042,central,CCR_price_1,303,
2043,central,CCR_price_1,312,
2044,central,CCR_price_1,322,
2045,central,CCR_price_1,331,
2046,central,CCR_price_1,341,
2047,central,CCR_price_1,352,
2048,central,CCR_price_1,362,
2049,central,CCR_price_1,373,
2050,central,CCR_price_1,384,
2020,central,CCR_price_2,0,
2021,central,CCR_price_2,0,
2022,central,CCR_price_2,0,
2023,central,CCR_price_2,216,
2024,central,CCR_price_2,222,
2025,central,CCR_price_2,229,
2026,central,CCR_price_2,236,
2027,central,CCR_price_2,243,
2028,central,CCR_price_2,250,
2029,central,CCR_price_2,258,
2030,central,CCR_price_2,266,
2031,central,CCR_price_2,274,
2032,central,CCR_price_2,282,
2033,central,CCR_price_2,290,
2034,central,CCR_price_2,299,
2035,central,CCR_price_2,308,
2036,central,CCR_price_2,317,
2037,central,CCR_price_2,327,
2038,central,CCR_price_2,337,
2039,central,CCR_price_2,347,
2040,central,CCR_price_2,357,
2041,central,CCR_price_2,368,
2042,central,CCR_price_2,379,
2043,central,CCR_price_2,390,
2044,central,CCR_price_2,402,
2045,central,CCR_price_2,414,
2046,central,CCR_price_2,426,
2047,central,CCR_price_2,439,
2048,central,CCR_price_2,452,
2049,central,CCR_price_2,466,
2050,central,CCR_price_2,480,
2020,central,CCR_volume_2,0,
2021,central,CCR_volume_2,0,
2022,central,CCR_volume_2,0,
2023,central,CCR_volume_2,0,
2024,central,CCR_volume_2,4900,
2025,central,CCR_volume_2,4500,
2026,central,CCR_volume_2,4200,
2027,central,CCR_volume_2,3800,
2028,central,CCR_volume_2,3400,
2029,central,CCR_volume_2,3000,
2030,central,CCR_volume_2,2500,
2031,central,CCR_volume_2,2300,
2032,central,CCR_volume_2,2100,
2033,central,CCR_volume_2,1900,
2034,central,CCR_volume_2,1700,
2035,central,CCR_volume_2,1500,
2036,central,CCR_volume_2,1300,
2037,central,CCR_volume_2,1100,
2038,central,CCR_volume_2,900,
2039,central,CCR_volume_2,700,
2040,central,CCR_volume_2,500,
2041,central,CCR_volume_2,300,
2042,central,CCR_volume_2,100,
2043,central,CCR_volume_2,0,
2044,central,CCR_volume_2,0,
2045,central,CCR_volume_2,0,
2046,central,CCR_volume_2,0,
2047,central,CCR_volume_2,0,
2048,central,CCR_volume_2,0,
2049,central,CCR_volume_2,0,
2050,central,CCR_volume_2,0,
2020,central,CCR_volume_1,0,
2021,central,CCR_volume_1,0,
2022,central,CCR_volume_1,7000,
2023,central,CCR_volume_1,0,
2024,central,CCR_volume_1,2800,
2025,central,CCR_volume_1,2600,
2026,central,CCR_volume_1,2300,
2027,central,CCR_volume_1,2100,
2028,central,CCR_volume_1,1900,
2029,central,CCR_volume_1,1700,
2030,central,CCR_volume_1,1400,
2031,central,CCR_volume_1,1200,
2032,central,CCR_volume_1,1000,
2033,central,CCR_volume_1,800,
2034,central,CCR_volume_1,600,
2035,central,CCR_volume_1,400,
2036,central,CCR_volume_1,200,
2037,central,CCR_volume_1,0,
2038,central,CCR_volume_1,0,
2039,central,CCR_volume_1,0,
2040,central,CCR_volume_1,0,
2041,central,CCR_volume_1,0,
2042,central,CCR_volume_1,0,
2043,central,CCR_volume_1,0,
2044,central,CCR_volume_1,0,
2045,central,CCR_volume_1,0,
2046,central,CCR_volume_1,0,
2047,central,CCR_volume_1,0,
2048,central,CCR_volume_1,0,
2049,central,CCR_volume_1,0,
2050,central,CCR_volume_1,0,
2020,CCC_2024,auction_volume,0,
2021,CCC_2024,auction_volume,"19,300",
2022,CCC_2024,auction_volume,"19,957",
2023,CCC_2024,auction_volume,0,
2024,CCC_2024,auction_volume,14200,
2025,CCC_2024,auction_volume,5900,
2026,CCC_2024,auction_volume,5000,
2027,CCC_2024,auction_volume,4900,
2028,CCC_2024,auction_volume,3900,
2029,CCC_2024,auction_volume,3000,
2030,CCC_2024,auction_volume,2000,
2031,CCC_2024,auction_volume,7100,
2032,CCC_2024,auction_volume,5000,
2033,CCC_2024,auction_volume,2900,
2034,CCC_2024,auction_volume,1100,
2035,CCC_2024,auction_volume,0,
2036,CCC_2024,auction_volume,0,
2037,CCC_2024,auction_volume,0,
2038,CCC_2024,auction_volume,0,
2039,CCC_2024,auction_volume,0,
2040,CCC_2024,auction_volume,0,
2041,CCC_2024,auction_volume,0,
2042,CCC_2024,auction_volume,0,
2043,CCC_2024,auction_volume,0,
2044,CCC_2024,auction_volume,0,
2045,CCC_2024,auction_volume,0,
2046,CCC_2024,auction_volume,0,
2047,CCC_2024,auction_volume,0,
2048,CCC_2024,auction_volume,0,
2049,CCC_2024,auction_volume,0,
2050,CCC_2024,auction_volume,0,
2020,CCC_2024,auction_price,0,
