Year,Config,Variable,Value,Metadata
2018,central,historic_forestry_tradeable,3168858.573,"Reflects 1990-2022 forests from 'removals' tab of MfE NZ ETS model. Central, low and high from 2026 MfE NZ ETS model. Configs listed as '_____2025' are from Nov 2025 model."
2019,central,historic_forestry_tradeable,3200199.333,
2020,central,historic_forestry_tradeable,3249582.342,
2021,central,historic_forestry_tradeable,3393920.48,
2022,central,historic_forestry_tradeable,3712487.881,
2023,central,historic_forestry_tradeable,5408198.021,
2024,central,historic_forestry_tradeable,6232635.85,
2025,central,historic_forestry_tradeable,6547476.32,
2026,central,historic_forestry_tradeable,6450880.373,
2027,central,historic_forestry_tradeable,5842462.293,
2028,central,historic_forestry_tradeable,5143350.695,
2029,central,historic_forestry_tradeable,4684158.935,
2030,central,historic_forestry_tradeable,4574739.141,
2031,central,historic_forestry_tradeable,4589420.063,
2032,central,historic_forestry_tradeable,4722847.851,
2033,central,historic_forestry_tradeable,4389452.392,
2034,central,historic_forestry_tradeable,3908085.861,
2035,central,historic_forestry_tradeable,2883443.377,
2036,central,historic_forestry_tradeable,1670964.332,
2037,central,historic_forestry_tradeable,578156.6125,
2038,central,historic_forestry_tradeable,1415731.18,
2039,central,historic_forestry_tradeable,1442784.207,
2040,central,historic_forestry_tradeable,1354375.096,
2041,central,historic_forestry_tradeable,1381811.318,
2042,central,historic_forestry_tradeable,1237741.596,
2043,central,historic_forestry_tradeable,1071145.387,
2044,central,historic_forestry_tradeable,917690.0193,
2045,central,historic_forestry_tradeable,736992.2734,
2046,central,historic_forestry_tradeable,951170.8355,
2047,central,historic_forestry_tradeable,881844.3606,
2048,central,historic_forestry_tradeable,796167.519,
2049,central,historic_forestry_tradeable,706547.2635,
2050,central,historic_forestry_tradeable,643011.8997,
2018,central,historic_forestry_held,8932038.496,
2019,central,historic_forestry_held,8819240.138,
2020,central,historic_forestry_held,8492110.053,
2021,central,historic_forestry_held,8023888.14,
2022,central,historic_forestry_held,7296491.234,
2023,central,historic_forestry_held,6556929.545,
2024,central,historic_forestry_held,5742849.129,
2025,central,historic_forestry_held,5340753.96,
2026,central,historic_forestry_held,5076364.223,
2027,central,historic_forestry_held,4890259.969,
2028,central,historic_forestry_held,4741001.352,
2029,central,historic_forestry_held,4647811.529,
2030,central,historic_forestry_held,4851997.616,
2031,central,historic_forestry_held,5187627.457,
2032,central,historic_forestry_held,5758063.768,
2033,central,historic_forestry_held,6414227.658,
2034,central,historic_forestry_held,7219567.653,
2035,central,historic_forestry_held,7708891.21,
2036,central,historic_forestry_held,8099895.288,
2037,central,historic_forestry_held,8383867.461,
2038,central,historic_forestry_held,8647940.302,
2039,central,historic_forestry_held,8698986.57,
2040,central,historic_forestry_held,8541908.892,
2041,central,historic_forestry_held,8522078.199,
2042,central,historic_forestry_held,8426243.438,
2043,central,historic_forestry_held,8308790.578,
2044,central,historic_forestry_held,8272712.726,
2045,central,historic_forestry_held,8233483.157,
2046,central,historic_forestry_held,8210632.658,
2047,central,historic_forestry_held,7921064.436,
2048,central,historic_forestry_held,7594511.986,
2049,central,historic_forestry_held,7145861.466,
2050,central,historic_forestry_held,6807759.712,
2018,central,historic_forestry_surrender,-731196.3492,
2019,central,historic_forestry_surrender,-1209014.941,
2020,central,historic_forestry_surrender,-2500804.045,
2021,central,historic_forestry_surrender,-3759922.869,
2022,central,historic_forestry_surrender,-7411184.146,
2023,central,historic_forestry_surrender,-9114985.922,
2024,central,historic_forestry_surrender,-11426231.86,
2025,central,historic_forestry_surrender,-7431213.944,
2026,central,historic_forestry_surrender,-5785982.768,
2027,central,historic_forestry_surrender,-4379592.555,
2028,central,historic_forestry_surrender,-5180298.027,
2029,central,historic_forestry_surrender,-5055262.198,
2030,central,historic_forestry_surrender,-3514278.496,
2031,central,historic_forestry_surrender,-2504166.429,
2032,central,historic_forestry_surrender,-1728249.161,
2033,central,historic_forestry_surrender,-724391.0398,
2034,central,historic_forestry_surrender,-931232.8172,
2035,central,historic_forestry_surrender,-805846.8217,
2036,central,historic_forestry_surrender,-1262381.773,
2037,central,historic_forestry_surrender,-1329727.405,
2038,central,historic_forestry_surrender,-1947689.361,
2039,central,historic_forestry_surrender,-5024801.171,
2040,central,historic_forestry_surrender,-6726619.366,
2041,central,historic_forestry_surrender,-4090228.062,
2042,central,historic_forestry_surrender,-4807469.479,
2043,central,historic_forestry_surrender,-3805815.74,
2044,central,historic_forestry_surrender,-2505473.537,
2045,central,historic_forestry_surrender,-2066222.83,
2046,central,historic_forestry_surrender,-2640525.842,
2047,central,historic_forestry_surrender,-4555913.276,
2048,central,historic_forestry_surrender,-4943802.417,
2049,central,historic_forestry_surrender,-6177712.454,
2050,central,historic_forestry_surrender,-6734907.827,
2018,low,historic_forestry_tradeable,2500140.68,
2019,low,historic_forestry_tradeable,2531802.768,
2020,low,historic_forestry_tradeable,2582973.165,
2021,low,historic_forestry_tradeable,2729394.479,
2022,low,historic_forestry_tradeable,3051895.339,
2023,low,historic_forestry_tradeable,4752093.303,
2024,low,historic_forestry_tradeable,5585730.436,
2025,low,historic_forestry_tradeable,5928841.421,
2026,low,historic_forestry_tradeable,5887047.036,
2027,low,historic_forestry_tradeable,5444619.124,
2028,low,historic_forestry_tradeable,5067196.317,
2029,low,historic_forestry_tradeable,4902445.342,
2030,low,historic_forestry_tradeable,5015533.077,
2031,low,historic_forestry_tradeable,5105113.116,
