Year,Config,Value,Notes
2020,central,7638.4016,central = MfE NZ ETS excel model 2026 release
2021,central,6404.5266,
2022,central,6146.079,
2023,central,5688.01,
2024,central,5013.552,
2025,central,4995.586245,
2026,central,4094.057915,
2027,central,3981.837019,
2028,central,3660.331769,
2029,central,3613.198461,
2030,central,3566.065154,
2031,central,3471.798538,
2032,central,3377.531923,
2033,central,3283.265307,
2034,central,3188.998692,
2035,central,3094.732076,
2036,central,3000.465461,
2037,central,2906.198846,
2038,central,2811.93223,
2039,central,2717.665615,
2040,central,2623.398999,
2041,central,2481.999076,
2042,central,2340.599153,
2043,central,2199.19923,
2044,central,2057.799306,
2045,central,1916.399383,
2046,central,1774.99946,
2047,central,1633.599537,
2048,central,1492.199614,
2049,central,1350.799691,
2050,central,1209.399767,
2020,nov25,7638.4016,Nov 2025 MfE NZ ETS excel model release
2021,nov25,6404.5266,
2022,nov25,6146.079,
2023,nov25,5574.404758,
2024,nov25,5079.636146,
2025,nov25,5132.071739,
2026,nov25,5149.018557,
2027,nov25,5082.856879,
2028,nov25,4550.724988,
2029,nov25,4490.245874,
2030,nov25,3975.161673,
2031,nov25,3865.568572,
2032,nov25,3755.975472,
2033,nov25,3607.519014,
2034,nov25,3499.69243,
2035,nov25,3391.865846,
2036,nov25,3284.039261,
2037,nov25,3176.212677,
2038,nov25,3068.386093,
2039,nov25,2960.559508,
2040,nov25,2852.732924,
2041,nov25,2690.993047,
2042,nov25,2529.253171,
2043,nov25,2367.513295,
2044,nov25,2205.773418,
2045,nov25,2044.033542,
2046,nov25,1882.293665,
2047,nov25,1720.553789,
2048,nov25,1558.813912,
2049,nov25,1397.074036,
2050,nov25,1235.334159,
