Config,Year,Sector,Amount,Notes
central,2024,Aluminium,0.0,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2025,Aluminium,289.0988372093024,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2026,Aluminium,285.69767441860466,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2027,Aluminium,282.29651162790697,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2028,Aluminium,278.8953488372093,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2029,Aluminium,275.49418604651163,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2030,Aluminium,272.09302325581393,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2031,Aluminium,265.2906976744186,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2032,Aluminium,258.48837209302326,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2033,Aluminium,251.6860465116279,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2034,Aluminium,244.88372093023253,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2035,Aluminium,238.0813953488372,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2036,Aluminium,231.27906976744185,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2037,Aluminium,224.4767441860465,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2038,Aluminium,217.67441860465112,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2039,Aluminium,210.87209302325576,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2040,Aluminium,204.0697674418604,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2041,Aluminium,193.86627906976736,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2042,Aluminium,183.66279069767432,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2043,Aluminium,173.4593023255813,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2044,Aluminium,163.25581395348826,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2045,Aluminium,153.05232558139522,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2046,Aluminium,142.8488372093022,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2047,Aluminium,132.64534883720916,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2048,Aluminium,122.44186046511614,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2049,Aluminium,112.2383720930231,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2050,Aluminium,102.03488372093008,NZAS contract adjustment - additional allocation beyond phase-down schedule
central,2024,Cement and lime,0.0,
central,2025,Cement and lime,0.0,
central,2026,Cement and lime,0.0,
central,2027,Cement and lime,0.0,
central,2028,Cement and lime,0.0,
central,2029,Cement and lime,0.0,
central,2030,Cement and lime,0.0,
central,2031,Cement and lime,0.0,
central,2032,Cement and lime,0.0,
central,2033,Cement and lime,0.0,
central,2034,Cement and lime,0.0,
central,2035,Cement and lime,0.0,
central,2036,Cement and lime,0.0,
central,2037,Cement and lime,0.0,
central,2038,Cement and lime,0.0,
central,2039,Cement and lime,0.0,
central,2040,Cement and lime,0.0,
central,2041,Cement and lime,0.0,
central,2042,Cement and lime,0.0,
central,2043,Cement and lime,0.0,
central,2044,Cement and lime,0.0,
central,2045,Cement and lime,0.0,
central,2046,Cement and lime,0.0,
central,2047,Cement and lime,0.0,
central,2048,Cement and lime,0.0,
central,2049,Cement and lime,0.0,
central,2050,Cement and lime,0.0,
central,2024,Iron and steel,0.0,
central,2025,Iron and steel,0.0,
central,2026,Iron and steel,0.0,
central,2027,Iron and steel,0.0,
central,2028,Iron and steel,0.0,
central,2029,Iron and steel,0.0,
central,2030,Iron and steel,0.0,
central,2031,Iron and steel,0.0,
central,2032,Iron and steel,0.0,
central,2033,Iron and steel,0.0,
central,2034,Iron and steel,0.0,
central,2035,Iron and steel,0.0,
central,2036,Iron and steel,0.0,
central,2037,Iron and steel,0.0,
central,2038,Iron and steel,0.0,
central,2039,Iron and steel,0.0,
central,2040,Iron and steel,0.0,
central,2041,Iron and steel,0.0,
central,2042,Iron and steel,0.0,
central,2043,Iron and steel,0.0,
central,2044,Iron and steel,0.0,
central,2045,Iron and steel,0.0,
central,2046,Iron and steel,0.0,
central,2047,Iron and steel,0.0,
central,2048,Iron and steel,0.0,
central,2049,Iron and steel,0.0,
central,2050,Iron and steel,0.0,
central,2024,Methanol,0.0,
