Config,Year,Category,Rate
central,2020,High,0.9
central,2020,Moderate,0.6
central,2021,High,0.89
central,2021,Moderate,0.59
central,2022,High,0.88
central,2022,Moderate,0.58
central,2023,High,0.87
central,2023,Moderate,0.57
central,2024,High,0.86
central,2024,Moderate,0.56
central,2025,High,0.85
central,2025,Moderate,0.55
central,2026,High,0.84
central,2026,Moderate,0.54
central,2027,High,0.83
central,2027,Moderate,0.53
central,2028,High,0.82
central,2028,Moderate,0.52
central,2029,High,0.81
central,2029,Moderate,0.51
central,2030,High,0.8
central,2030,Moderate,0.5
central,2031,High,0.78
central,2031,Moderate,0.48
central,2032,High,0.76
central,2032,Moderate,0.46
central,2033,High,0.74
central,2033,Moderate,0.44
central,2034,High,0.72
central,2034,Moderate,0.42
central,2035,High,0.7
central,2035,Moderate,0.4
central,2036,High,0.68
central,2036,Moderate,0.38
central,2037,High,0.66
central,2037,Moderate,0.36
central,2038,High,0.64
central,2038,Moderate,0.34
central,2039,High,0.62
central,2039,Moderate,0.32
central,2040,High,0.6
central,2040,Moderate,0.3
central,2041,High,0.57
central,2041,Moderate,0.27
central,2042,High,0.54
central,2042,Moderate,0.24
central,2043,High,0.51
central,2043,Moderate,0.21
central,2044,High,0.48
central,2044,Moderate,0.18
central,2045,High,0.45
central,2045,Moderate,0.15
central,2046,High,0.42
central,2046,Moderate,0.12
central,2047,High,0.39
central,2047,Moderate,0.09
central,2048,High,0.36
central,2048,Moderate,0.06
central,2049,High,0.33
central,2049,Moderate,0.03
central,2050,High,0.3
central,2050,Moderate,0.00
