Year,Config,Variable,Value,Notes
2020,central,forestry_tradeable,3849.740844,"Low, central and high updated to reflect Nov 2025 MfE NZ ETS model release"
2021,central,forestry_tradeable,4005.596712,
2022,central,forestry_tradeable,4373.477349,
2023,central,forestry_tradeable,5521.591846,
2024,central,forestry_tradeable,6644.650999,
2025,central,forestry_tradeable,8319.024313,
2026,central,forestry_tradeable,10401.91451,
2027,central,forestry_tradeable,12485.74284,
2028,central,forestry_tradeable,14152.02517,
2029,central,forestry_tradeable,15168.876,
2030,central,forestry_tradeable,15563.62104,
2031,central,forestry_tradeable,15728.7322,
2032,central,forestry_tradeable,15987.29921,
2033,central,forestry_tradeable,16579.73694,
2034,central,forestry_tradeable,17364.98017,
2035,central,forestry_tradeable,17764.05893,
2036,central,forestry_tradeable,17947.46685,
2037,central,forestry_tradeable,18192.56733,
2038,central,forestry_tradeable,17122.15448,
2039,central,forestry_tradeable,15941.38574,
2040,central,forestry_tradeable,15236.52826,
2041,central,forestry_tradeable,15347.52032,
2042,central,forestry_tradeable,15514.68746,
2043,central,forestry_tradeable,15660.71583,
2044,central,forestry_tradeable,15759.15519,
2045,central,forestry_tradeable,15881.82973,
2046,central,forestry_tradeable,16015.28206,
2047,central,forestry_tradeable,16161.70078,
2048,central,forestry_tradeable,16294.32573,
2049,central,forestry_tradeable,16437.61546,
2050,central,forestry_tradeable,16584.73115,
2020,low,forestry_tradeable,2629.640761,
2021,low,forestry_tradeable,2625.20681,
2022,low,forestry_tradeable,2675.324032,
2023,low,forestry_tradeable,2865.638823,
2024,low,forestry_tradeable,3294.02277,
2025,low,forestry_tradeable,4704.671042,
2026,low,forestry_tradeable,6887.152612,
2027,low,forestry_tradeable,9535.22125,
2028,low,forestry_tradeable,11930.62396,
2029,low,forestry_tradeable,13510.84003,
2030,low,forestry_tradeable,14145.5662,
2031,low,forestry_tradeable,14371.7377,
2032,low,forestry_tradeable,14436.92703,
2033,low,forestry_tradeable,14899.15388,
2034,low,forestry_tradeable,15665.78788,
2035,low,forestry_tradeable,16678.97275,
2036,low,forestry_tradeable,17733.63555,
2037,low,forestry_tradeable,18783.23053,
2038,low,forestry_tradeable,16928.31765,
2039,low,forestry_tradeable,15467.38759,
2040,low,forestry_tradeable,14172.63327,
2041,low,forestry_tradeable,13986.93674,
2042,low,forestry_tradeable,14131.97233,
2043,low,forestry_tradeable,14271.00681,
2044,low,forestry_tradeable,14417.15738,
2045,low,forestry_tradeable,14567.39006,
2046,low,forestry_tradeable,14714.24063,
2047,low,forestry_tradeable,14864.99896,
2048,low,forestry_tradeable,15015.13759,
2049,low,forestry_tradeable,15164.51924,
2050,low,forestry_tradeable,15311.80403,
2020,high,forestry_tradeable,3546.167808,
2021,high,forestry_tradeable,3542.064355,
2022,high,forestry_tradeable,3598.566364,
2023,high,forestry_tradeable,3803.004512,
2024,high,forestry_tradeable,4247.623156,
2025,high,forestry_tradeable,5670.291076,
2026,high,forestry_tradeable,7863.136854,
2027,high,forestry_tradeable,10531.92784,
2028,high,forestry_tradeable,12980.80118,
2029,high,forestry_tradeable,14767.79574,
2030,high,forestry_tradeable,15768.05866,
2031,high,forestry_tradeable,16498.91649,
2032,high,forestry_tradeable,17139.7891,
2033,high,forestry_tradeable,18162.81167,
2034,high,forestry_tradeable,19421.72104,
2035,high,forestry_tradeable,20883.34527,
2036,high,forestry_tradeable,22338.45549,
2037,high,forestry_tradeable,23804.5869,
2038,high,forestry_tradeable,22385.08797,
2039,high,forestry_tradeable,21381.70041,
2040,high,forestry_tradeable,20561.02896,
2041,high,forestry_tradeable,20863.02583,
2042,high,forestry_tradeable,21382.62284,
2043,high,forestry_tradeable,21899.02944,
2044,high,forestry_tradeable,22424.16676,
2045,high,forestry_tradeable,22950.94271,
2046,high,forestry_tradeable,23473.80975,
2047,high,forestry_tradeable,23999.74351,
2048,high,forestry_tradeable,24526.98621,
2049,high,forestry_tradeable,25051.8837,
2050,high,forestry_tradeable,25570.98091,
2020,central,forestry_held,7996.301539,
2021,central,forestry_held,7558.556686,
2022,central,forestry_held,6899.195,
2023,central,forestry_held,6252.205507,
